0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,,,
2.35,0.03,-0.68,-0.88,0.02,0.83,1.05,-0.01,-0.12,0.19,4,0.08,-1.74,-4,-0.9,4,2.55,-0.42,-4,-2.29,-1.66,0.23,0.21,-0.11,0.04,-1.56,0.04,0.73,-0.8,0.6,10.93,52.49,-64.51,109.37,10.01,-98.69,-20.2,-41.93,86.12,0.67,227.11,-138.92,17.4,-118.41,82.82,138.73,-288.45,-8.42,11.9,13.67,271.42,-537.84,-414.61,37.35,411.01,395.2,-338.2,-322.45,-205.26,271.12,0,0,1
2.01,-1.46,-2.72,-0.9,-1.44,-2.08,-0.28,2.23,-0.45,-0.97,4,3.31,-1.49,-4,-4,0.47,4,4,0.32,-1.23,-1.05,0.64,1.43,-2.46,-0.74,-0.32,-0.21,0.56,0.21,-0.29,84.29,-275.88,75.62,305.24,125.06,-113.65,-128.11,25.45,-154.17,83.56,-56.64,-280.94,-57.31,176.76,-224.3,-21.06,11.66,-67.57,-64.51,-33.33,-104.06,-658.69,-628.54,-484.86,351.44,699.28,627.75,-332.03,-475.89,-485.6,0,0,1
-1.38,0.04,0.18,0.52,-0.69,-0.38,0.39,0,0.46,0.03,-0.46,0.68,-1.33,0.18,-0.37,-0.67,0.09,-1.1,-0.91,0.66,-3.89,-4,-0.44,3.96,4,-0.88,-4,-1.77,1.55,4,-286.5,198.91,234.37,-52.49,-17.33,-236.15,-5.8,228.39,18.55,-194.27,720.28,-281.31,-519.23,-391.85,358.64,648.13,334.35,-462.04,-495.36,5,135.5,-102.36,-119.32,-4.09,-11.66,69.58,33.87,-130.43,-16.78,-12.88,0,0,1
3.16,3.93,0.38,-3.45,-3.19,0.05,3.75,2.87,-0.89,-1.12,3.71,3.64,-0.32,-2.37,-3.34,1.39,3.17,1.75,-1.76,-2.39,-3.02,-4,-1.99,1.59,1.67,0.54,-1.06,-3.62,-0.1,2,-171.69,26.25,56.27,-16.54,26.92,-136.96,-101.81,-89.17,50.6,2.44,568.36,-115.66,-461.12,-505.86,-145.69,319.15,493.29,75.81,-355.96,-160.16,318.18,28.99,-145.69,-274.54,96.44,205.69,119.26,21.3,-146.18,-11.78,0,0,1
2.38,2.59,3.16,2.02,1.61,1.33,0.97,0.81,0.72,0.73,-1.75,-0.08,0.47,0.27,0.19,0.12,0.11,0.07,0,0.01,-3.85,-1.82,-1.34,-0.9,-0.68,-0.47,-0.25,-0.2,-0.29,-0.26,586.12,-0.37,-13,-2.38,48.52,47,30.33,46.88,42.48,26.61,160.71,-37.17,-47.49,146.91,-131.16,-124.57,-100.77,-66.77,-62.26,-62.56,153.02,90.15,21.61,-73.85,66.59,46.88,15.99,20.87,15.08,14.83,0,0,1
1.8,4,4,0,-0.53,-0.36,-0.09,0.79,0.59,0.92,1.49,2.05,2.25,0.37,-0.43,-0.35,-0.04,-0.02,-0.18,0.02,-3.4,-3.87,-1.56,-0.39,0.25,0.46,0.6,-0.1,-0.16,-0.01,171.33,-3.05,-109.13,67.63,68.05,40.77,21.36,57.8,13.06,0.73,390.01,-12.57,-263.79,-329.53,-269.53,-4.82,22.58,16.36,-2.69,-13.67,248.78,241.52,-208.86,-207.21,-78.31,-35.58,18.25,20.87,7.57,22.09,0,0,1
3.94,4,3.47,-1.39,-3.33,-0.7,1.51,1.71,1.17,0.89,1.4,2.86,2.05,-0.09,-1.42,-0.12,0.56,0.25,0.16,0.09,-2.38,-1.61,-1.49,-0.94,0.15,0.73,0.28,-0.26,-0.06,0.12,-19.47,-35.77,62.44,72.88,-1.04,-22.95,37.48,13.73,-5.62,-4.27,291.26,-31.31,-289.31,-353.27,-191.83,104.43,85.94,63.54,7.45,-27.65,234.8,87.59,-283.69,-333.98,-94.06,96.25,124.82,-13.61,-19.41,-15.5,0,0,1
4,4,4,0.18,-1.43,-0.88,-0.06,0.26,0.91,1.1,0.62,0.93,1.38,0.61,-0.5,-0.3,-0.16,-0.31,-0.13,0.06,-2.03,-1.38,-1.25,-0.66,0.01,0.57,0.35,-0.07,0.02,0.24,3.97,-71.84,-43.95,52.55,63.05,23.07,46.81,47.24,2.08,-12.51,157.47,28.56,-154.66,-322.39,-187.19,-49.44,8.36,62.19,28.08,3.3,166.99,50.72,-5,-240.78,-137.08,-14.34,7.69,5.07,33.69,22.58,0,0,1
4,4,3.69,-1.2,-1.98,-0.44,0.72,0.98,1.39,1.35,1.31,1.2,1.61,0.29,-0.7,-0.48,0.14,-0.11,-0.08,0.27,-1.86,-1.67,-0.82,-0.04,0.53,0.31,0.36,-0.06,-0.1,0.3,11.96,-2.32,-66.53,41.87,43.03,17.88,18.98,33.2,-1.28,-0.06,215.15,-0.92,-232.54,-260.74,-99.06,49.87,57.56,64.15,65.98,29.6,259.95,33.63,-140.5,-245.61,-115.66,37.78,55.36,25.88,32.41,23.32,0,0,1
-1.4,-1.66,-0.94,0.19,0.54,0.27,0.32,0.3,0.24,0.26,4,3.6,-0.57,-1.82,-0.53,0.27,0.61,1.21,1.17,1.18,-1.77,-0.71,-0.39,0.3,0.09,0.29,-0.1,-0.09,0.13,0.09,24.48,-2.32,133.54,81.54,-6.16,17.82,-4.64,-30.33,-7.93,1.77,34.18,-22.77,-80.32,-41.69,-22.77,-18.07,6.53,-8.91,-3.23,8.18,-98.08,-376.77,-372.99,-168.4,-4.33,29.66,45.9,37.72,25.39,21.48,0,0,1
