0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,forehand,topspin,bad form
-3.09,-3.72,-4,-4,-4,-4,-4,-3.33,-2.42,-2.05,2.87,3.76,4,4,3.92,2.19,0.46,-0.17,-0.01,-1.23,-1.65,-2.3,-3.87,-4,-4,-3.12,-0.1,0.98,1.54,1.09,266.42,327.27,437.5,359.99,119.45,-60.73,-48.71,21.61,78.92,-19.29,177.86,185.49,224.73,398.56,41.69,-142.46,-250.31,-229.8,-65.73,50.96,-185.06,-320.19,-693.97,-1166.14,-1193.54,-980.65,-723.14,-345.83,-208.37,-135.13,1,1,0
-3.65,-4,-4,-4,-4,-4,-4,-4,-3.08,-2.42,3.34,3.98,4,4,4,2.52,0.13,-0.65,-0.8,-1.36,-0.81,-1.16,-2.25,-2.34,-2.49,-0.28,0.16,1,1.2,1.16,219.48,225.77,252.5,241.39,178.53,-171.57,-91.55,16.66,-15.99,-14.04,284.97,404.66,375.85,417.24,342.83,62.81,-11.35,-84.35,22.46,14.1,-226.99,-421.02,-842.04,-1062.26,-1182.98,-964.97,-774.72,-491.33,-267.09,-119.81,1,1,0
-4,-4,-4,-4,-4,-4,-2.87,-2.21,-1.81,-1.38,3.47,4,4,2.79,0.93,-1.43,-0.99,-1.07,-1.59,-1.48,-0.24,-0.42,-0.52,-1.49,-0.01,0.76,1,0.81,0.53,0.43,44.37,58.04,98.08,129.39,-146.48,-131.59,203.49,18.01,-18.13,53.71,211.12,113.53,128.17,139.16,43.7,-91.19,-93.51,29.91,53.47,-6.04,-474.18,-833.68,-1356.87,-1191.77,-1028.08,-649.29,-235.96,-135.01,-45.78,94.18,1,1,0
-4,-4,-4,-4,-4,-4,-3.22,-2,-1.4,-1.05,4,4,4,2.49,-0.11,-2.6,-2.17,-1.97,-1.39,-0.91,-0.79,0.38,0.11,-0.49,0.35,0.64,0.45,0.73,0.55,0.51,77.45,2.93,223.08,-21.42,-204.47,41.38,29.36,-33.75,44.68,13.98,284.55,146.73,355.59,272.58,188.42,88.99,46.33,31.92,32.65,-27.4,-506.16,-822.51,-1145.94,-1112.85,-883.12,-616.64,-183.04,-50.9,75.99,146.67,1,1,0
-4,-4,-4,-4,-4,-2.99,-2.08,-1.42,-0.91,-0.88,4,4,1.11,-0.75,-1.73,-2.16,-2.38,-1.76,-1.25,-0.94,-1.36,-1.43,-1.85,1.04,0.77,0.73,0.69,1.04,0.69,0.36,204.28,53.22,-23.32,-226.44,96.01,149.54,36.13,-4.64,-27.95,-26.12,261.66,532.9,332.15,-178.22,-175.35,-23.99,-47.06,-69.03,6.29,-46.33,-829.53,-1343.51,-1218.87,-804.44,-392.09,-257.69,-35.58,158.69,195.13,245.54,1,1,0
-3.18,-4,-4,-4,-4,-4,-4,-2.26,-1.33,-0.92,2.77,2.4,4,4,1.02,-1.44,-3.42,-0.46,0.02,-1.06,-1.26,-2.05,-3.65,-2.91,-1.99,-0.4,1.24,1.38,-0.08,0.6,202.51,154.17,465.27,260.31,-8.91,-33.81,-153.38,146.18,-61.65,-84.05,178.34,208.25,291.69,375,69.7,-3.91,-172.91,38.7,86.12,-88.07,-209.41,-367.61,-662.6,-1226.62,-1286.74,-1143.43,-547.24,-152.77,-71.47,-21.61,1,1,0
-4,-4,-4,-4,-4,-3.51,-2.2,-1.35,-0.76,-0.51,4,4,3.12,-0.08,-1.89,-1.26,-1.02,-1.32,-1.57,-1.67,-2.71,-3.9,-2.53,-2.01,0.09,0.57,0.21,0.97,1.07,0.4,267.03,201.72,54.99,36.13,28.87,94.42,21.3,-51.03,-32.96,-23.8,192.87,124.02,17.82,-174.56,-242.19,-0.85,1.83,-56.4,34.67,56.15,-435.91,-859.86,-1325.44,-1190.61,-866.94,-427,-255.92,-118.47,-16.24,63.6,1,1,0
-4,-4,-4,-4,-4,-3.1,-1.97,-1.14,-0.68,-0.41,4,4,2.37,-1.18,-3.73,-3.09,-2.13,-1.01,-0.4,-0.22,-2.4,-3.71,-3.24,-1.71,0.46,0.59,0.81,0.7,0.59,0.37,142.52,260.5,334.11,-78.98,-40.04,46.2,-21,-58.72,-104.98,-156.56,269.41,464.54,381.29,173.83,1.28,21.48,-0.98,12.57,27.83,-16.24,-722.17,-1149.35,-1290.71,-1133.79,-745.18,-197.02,67.02,152.16,207.58,232.54,1,1,0
-4,-4,-4,-3.5,-2.39,-1.65,-0.9,-0.54,-0.45,-0.61,3.2,0.52,-1.58,-2.2,-1.6,-1.65,-1.28,-1.09,-0.89,-0.58,-2.73,-1.91,0.19,0.95,0.66,0.74,0.9,0.74,0.68,0.61,102.66,112.98,-15.81,-30.21,65.49,41.44,2.2,4.27,9.58,-22.52,257.2,93.08,-80.38,-22.64,42.54,3.91,16.05,9.22,-34.61,-72.02,-1298.22,-1107.79,-700.62,-347.9,-107.24,29.79,135.07,161.93,202.82,244.51,1,1,0
-4,-3.75,-2.06,-1.52,-0.95,-0.6,-0.56,-0.88,-1.2,-1.16,-3.33,-3.46,-2.39,-2.5,-2.06,-1.5,-1.15,-0.8,-0.13,0.4,-0.33,-0.3,-0.13,0.5,1.23,1.12,0.72,0.75,0.72,0.54,6.1,82.21,-50.96,8.73,-0.61,-40.53,31.37,26.31,-13.37,-48.65,74.22,-20.57,18.8,-61.46,-81.05,-26.06,-42.42,-90.7,-121.15,-153.75,-878.11,-395.26,-182.62,-65.19,83.01,160.89,199.71,249.82,304.38,313.48,1,1,0
