aX,aY,aZ,gX,gY,gZ
0.69,-0.29,-0.35,44.68,11.23,32.1
0.21,-0.45,-0.62,10.19,75.01,62.07
-0.23,-0.84,-0.77,13.18,118.9,130.62
-4,3.91,-1.88,40.65,-162.48,-623.29
-4,4,-4,555.85,-332.58,-1734.92
-4,4,-4,203.12,-489.69,-2000
-4,-4,0.55,193.05,-321.41,-1191.59
-4,-4,1.09,35.83,8.48,-187.01
-1.77,-1.52,-0.3,127.26,-156.8,204.41
0.95,0.63,0.01,0.43,-23.01,333.01
0.46,-0.35,-0.26,-10.99,90.52,125
0.06,-0.81,-0.53,92.77,23.74,163.02
-0.07,-0.37,-0.85,102.11,35.64,252.08
-4,4,-4,521,-145.08,-1929.93
-4,2.77,-1.72,-15.87,-192.75,-2000
-4,-4,-1.26,448.67,35.52,-979.31
-4,-4,-0.2,-28.87,34.97,-7.2
-0.12,0.32,0.45,78.25,-175.84,378.6
0.61,0.46,0.07,-102.17,150.94,176.03
0.55,-0.02,-1.1,-40.83,129.76,123.6
0.13,0.01,-0.86,-5,14.47,156.62
-0.15,-0.25,-0.52,-5.13,51.51,261.11
-0.51,0.09,-0.83,17.82,78.86,350.65
-4,3.95,-3.65,309.2,-67.5,-971.13
-4,4,-4,472.72,-382.81,-1905.15
-4,3.51,-2.27,-61.52,-368.1,-1997.86
-4,-3.43,1.07,11.17,-192.99,-758.91
-4,-3.75,1.77,172,-25.45,-7.14
-1.21,-0.41,-0.63,252.38,-62.87,377.5
0.89,0.67,-0.72,57.43,12.27,322.81
1,0.29,-0.57,2.81,36.13,157.04
0.25,-0.74,-0.69,4.58,37.48,141.66
-0.04,-0.51,-0.65,-13.49,33.14,259.46
-4,2.86,-0.5,-50.78,-69.76,-459.53
-4,4,-2.74,195.62,-252.26,-1253.72
-4,4,-4,26.55,-391.17,-2000
-4,-4,3.4,-197.75,-367.49,-1363.04
-4,-4,1.26,18.13,5.74,-362.3
-1.87,-1.62,-0.58,254.27,17.4,178.34
0.26,0.14,-0.74,58.59,-26.92,265.14
0.78,0.24,-0.82,-45.17,64.27,139.89
0.22,-0.34,-0.67,-0.98,28.56,103.15
-0.07,-0.66,-0.67,5.62,46.45,193.12
-4,4,-4,847.84,-69.21,-2000
-4,-1.46,-0.33,-321.59,-47.18,-1646.79
-4,-4,-0.17,155.58,-5.43,-502.08
-3.1,-2.45,-0.94,211.06,-73.85,229.19
-0.39,0.33,0.72,111.27,-229.19,364.5
0.92,0.46,-0.09,-34.06,124.45,218.2
0.57,-0.1,-0.68,38.21,119.87,142.88
0.22,-0.34,-1,22.58,92.16,195.62
-0.23,-0.51,-0.86,-42.3,50.29,263.24
-0.76,-0.34,-0.58,15.5,9.28,392.76
-4,-3.91,-0.85,302.37,-11.17,-1174.68
-4,-4,0.4,88.75,177.31,-312.38
-1.99,-0.9,-2.58,99.12,-66.47,339.66
0.01,0.35,0.05,23.32,-255.37,354.74
0.46,0.14,0.27,-175.17,73.85,213.01
0.55,0.2,-0.93,-30.27,124.82,142.7
0.16,-0.72,-0.84,42.91,-6.1,179.44
0.06,-0.17,-0.58,8.61,8.79,261.05
-0.36,-0.31,-0.23,7.2,56.82,305.3
-0.93,-0.16,-0.88,71.78,89.42,445.68
-4,-4,-1.4,661.25,-128.23,-593.93
-4,-4,-0.91,208.92,45.17,-17.15
-0.19,0.38,-1.62,-33.75,-1.77,400.15
0.22,0.35,-0.13,30.03,-125.31,332.64
0.15,0.46,-0.45,-80.14,22.22,329.35
0.27,0.77,-0.81,-139.22,119.93,315.73
-0.09,0.55,-0.78,-55.48,61.1,324.71
-0.38,0.43,-0.66,-48.77,47.79,353.52
-0.77,0.42,-0.61,-44.68,51.27,369.2
-0.75,0.34,-0.55,-109.13,78.25,392.21
-4,1.35,-1.94,-24.41,148.32,-162.6
-4,2.98,-1.82,-83.07,-50.48,-699.95
-4,4,-4,447.63,-254.15,-1915.1
-4,3.17,-3.11,174.07,52.86,-1999.82
-4,-4,-1.71,705.38,-50.11,-784.48
-4,-2.79,-2.27,39.61,178.41,-95.64
-0.68,-0.35,-1.72,-26.61,-86.3,310.12
-0.08,-0.17,0.39,-7.51,-189.27,201.35
0.35,-0.22,0.04,-127.08,24.41,125.55
0.25,-0.15,-0.82,-19.23,68.48,133.18
-4,2.09,-1.21,-135.38,-18.01,-151
-4,4,-0.49,-26.67,-167.97,-882.93
-4,4,-4,611.57,-35.16,-1999.82
-4,-1.33,-2.79,260.31,21.48,-1961.61
-4,-4,-1.32,314.15,55.3,-530.33
-1.74,-1.66,-3.43,106.32,43.58,202.33
-0.4,-0.18,0.24,-30.15,-325.13,290.47
0.81,0.23,0.5,-136.35,130.07,154.11
1.05,0.68,-0.9,-66.04,95.83,85.14
0.72,-0.18,-0.53,-18.74,43.7,1.71
-4,1.13,-2.14,74.52,3.36,-29.54
-4,2.8,-2,20.08,-92.53,-482.42
-4,4,-4,286.62,-353.7,-1450.56
-4,4,-4,537.9,-370,-2000
-4,-4,-3.78,727.42,-148.38,-1395.63
-4,-4,-2.57,304.57,13.85,-293.27
-1.58,-0.39,-1.95,-42.42,-247.8,276.31
-0.02,0.38,2.02,9.34,-233.58,231.63
0.37,-0.24,0.16,-98.45,268.8,94.67
0.66,-0.42,-0.97,-82.64,223.57,149.35
-3.27,2.15,-2.14,-89.42,21.61,-30.33
-4,4,-0.6,-39.61,-328.98,-732.12
-4,4,-4,987.85,-227.97,-1983.22
-4,1.75,-4,27.04,80.08,-2000
-4,-4,-1.5,82.7,-75.07,-575.99
-3.98,-3.49,0.88,164.12,1.4,107.42
0.25,0.46,-0.63,187.19,-80.2,450.2
1.24,0.77,-0.05,-25.63,38.15,193.48
0.87,0.16,-0.49,11.96,51.64,51.64
0.59,-0.04,-0.64,42.6,31.56,69.76
-4,2.52,-1.52,-49.93,-14.95,-181.64
-4,4,-2.76,243.47,-302.49,-1088.26
-4,4,-4,979.8,-225.83,-2000
-4,-2.76,-2.9,513.43,216.98,-1332.15
-4,-4,-2.8,295.29,234.25,-501.95
-3.05,-2.15,-1.94,62.19,129.09,106.38
0.1,-0.54,-0.57,83.19,-160.83,258.48
0.75,0.21,0.31,-32.78,2.62,150.27
0.96,0.32,-0.74,-27.1,159.67,126.04
0.72,0.12,-0.73,-3.42,72.75,108.58
-3.68,1.85,-1.99,72.08,151.98,84.05
-4,4,-1.75,-38.51,-110.78,-465.15
-4,4,-4,500.12,-197.75,-1954.41
-4,4,-2.16,105.1,-26.25,-2000
-4,-4,-1.55,437.74,-15.81,-956.48
-4,-2.98,-1.46,12.94,-10.8,-141.85
-1.17,-1.25,-0.81,32.71,-130,199.4
0.27,0.01,0.36,-63.66,-39.92,215.09
0.5,0.05,-0.39,40.95,24.9,80.81
0.29,-0.23,-0.64,62.13,38.57,95.21
-4,2.53,-1.23,-104.68,-46.81,-314.94
-4,4,-2.84,128.6,-273.8,-1097.23
-4,4,-4,577.94,-392.09,-2000
-4,-2.57,0.12,213.68,22.28,-1701.78
-4,-4,-0.88,225.83,160.34,-596.92
-2.31,-1.68,-2.24,185.12,-64.21,133.48
0.66,0.45,0.43,-19.41,-176.57,268.31
1.08,0.23,-0.14,-0.98,82.58,17.82
0.52,-0.58,-0.97,48.16,70.07,-6.77
0.49,-0.51,-0.71,-12.39,-6.71,77.09
-3.94,1.67,-2.1,-9.16,35.89,-61.89
-4,4,-1.82,106.14,-163.15,-610.9
-4,4,-4,424.99,-407.53,-1838.56
-4,2.53,-1.04,-66.35,-290.47,-1995.67
-4,-4,-0.18,311.52,-139.77,-847.53
-3.77,-2.68,0.62,138.79,41.14,-250.61
-1.15,-1.87,-1.74,55.18,-44.07,72.94
0.01,-0.12,0.58,33.08,-145.87,158.94
0.5,0.23,-0.34,8.18,62.13,42.72
0.22,-0.67,-0.85,-8.3,63.72,-6.84
-4,1.19,-2.72,119.45,257.26,143.55
-4,3.05,-1.63,-137.45,3.42,-283.08
-4,4,-2.26,131.84,-141.42,-1075.07
-4,4,-4,294.56,-183.84,-2000
-4,-3.56,-1.07,287.11,56.03,-1511.72
-4,-4,-0.64,230.47,81.67,-379.94
-2.1,-1.98,-2.56,17.82,218.69,41.87
-0.28,-0.11,0.77,134.03,-232.18,308.04
0.88,1.11,0.18,-113.22,114.62,54.63
0.33,-0.25,-0.81,-35.52,101.93,-67.87
-4,1.39,-3.06,44.25,194.58,226.26
-4,4,-1.36,24.66,-156.86,-294.92
-4,4,-4,442.08,-82.76,-1863.89
-4,3.48,-2.51,-258.91,-312.38,-1998.47
-4,-4,4,-246.09,-302.25,-1034.91
-3.66,-4,-0.45,411.93,315.92,-89.6
0.03,0.34,-4,62.81,-466.13,228.52
-0.04,0.92,4,-66.35,-129.52,218.14
0.45,1.01,-1.32,10.62,276.79,67.02
0.48,0.44,-1.42,20.75,-51.09,-58.72
-4,1.56,-2.52,187.44,341.31,138
-4,4,-3.13,-4.39,-46.63,-416.32
-4,4,-4,281.25,-415.16,-1871.7
-4,3.96,-3.99,97.23,-224.12,-2000
-4,-3.3,1.05,153.93,-216.25,-953.55
-4,-4,1.26,38.33,8.06,-436.83
-2.1,-1.44,-1.32,245.54,-149.84,103.21
-0.08,-0.25,0.38,58.35,-133.79,208.37
0.48,-0.03,0.26,-96.92,61.95,150.51
0.41,-0.15,-0.41,-54.14,155.27,93.93
-4,2.48,-0.86,-53.22,-251.28,-757.39
-4,4,-4,388.31,-539.43,-1607.18
-4,4,-4,487.18,-284.79,-2000
-4,-4,-2.02,531.07,-41.69,-1017.58
-4,-4,-1.12,208.19,-17.7,-318.73
-0.96,-1.12,-1,45.53,-73.06,161.01
0.7,0.35,0.94,22.46,-118.59,154.97
0.39,-0.51,-0.86,1.65,174.93,5.13
0.33,-1.28,-1.37,0.98,98.21,109.5
0.41,-0.26,-0.71,-41.02,-30.33,225.4
-4,1.4,-2.58,154.05,153.75,-114.99
-4,3.48,-3.5,-4.88,-119.69,-520.02
-4,4,-2.43,569.46,-325.93,-1631.53
-4,4,-4,567.14,248.96,-2000
-4,-3.52,-0.93,-97.6,3.3,-1283.57
-4,-4,2.13,-175.72,-186.83,-311.58
-1.16,0.19,1.1,195.13,-186.28,315.43
1.15,1.44,0.64,126.16,-8.85,297.36
0.96,0.25,-0.56,22.34,156.98,88.99
0.59,-0.44,-0.64,-14.28,88.26,120.61
-3.83,0.73,-3.44,129.82,120,-51.94
-4,3.13,-3.43,58.9,-160.64,-479.98
-4,4,-4,449.52,-306.09,-1386.23
-4,4,-4,441.71,-399.35,-2000
-4,-3.53,-0.28,202.82,-307.19,-1121.03
-4,-4,3.01,-7.81,33.33,-444.58
-1.79,-1.46,-0.87,296.33,92.83,109.68
0.84,0.77,-1.05,47,-165.53,256.1
1.25,0.43,-0.03,-64.15,44.07,94.3
0.64,-0.22,-0.15,25.76,42.54,24.72
-3.51,0.72,-2.95,76.6,266.24,35.46
-4,3.67,-2.14,-56.21,45.29,-422.61
-4,4,-4,372.5,-107.06,-1511.29
-4,4,-4,361.51,-171.39,-2000
-4,-3.34,-1.71,366.09,-155.94,-1500.85
-4,-4,-0.54,185.67,145.63,-380.37
-1.79,-2.22,-2.71,107.91,-14.4,75.74
0,0.4,0.95,-18.13,-254.94,309.81
0.82,0.17,0.36,-84.29,156.19,116.46
0.27,-0.85,-0.84,-64.51,234.07,37.78
-3.97,1.15,-2.98,59.02,135.99,-12.51
-4,4,-1.68,-104.74,-171.87,-558.9
-4,4,-3.77,409.24,-214.6,-1550.48
-4,4,-3.63,525.09,35.77,-2000
-4,-4,-4,638.85,270.02,-1168.4
-4,-3.9,-2.08,-330.75,36.99,75.32
-0.38,0.75,0.8,-37.17,-316.16,331.36
0.52,0.22,1.41,-10.13,150.94,72.88
0.38,-0.8,-1.24,-17.03,202.21,36.68
0.33,-0.53,-1,-0.67,64.39,112.98
-3.99,1.73,-2.4,-0.49,140.99,37.9
-4,4,-0.72,-144.29,-139.4,-571.04
-4,4,-4,539.37,96.86,-1954.77
-4,2.17,-4,149.66,246.77,-2000
-4,-4,-4,322.2,-62.68,-586.18
-2.99,-3.13,1.21,-246.09,-50.66,-30.46
-0.71,-0.59,1.09,126.28,-100.1,233.34
0.71,0.38,-0.19,77.51,127.75,138.12
0.64,-0.24,-0.87,-48.16,138.43,47.85
0.4,-0.21,-0.51,11.23,33.26,121.09
-4,1.32,-2.31,21.42,-58.23,-119.93
-4,4,-0.81,-56.03,-123.05,-715.7
-4,4,-4,758.97,-120.3,-1919.01
-4,2.57,-3.98,217.71,261.05,-2000
-4,-4,-3.73,745.73,-14.22,-907.04
-3.75,-4,-2.45,17.94,70.86,18.43
-0.69,-0.51,0.34,-84.23,-313.72,271.55
0.38,0.5,1.29,-81.54,7.93,224.18
0.77,-0.21,-0.52,-78.37,253.85,97.6
0.7,0.09,-0.75,-39.67,81.24,99.61
-4,1.35,-2.6,65.12,174.56,30.52
-4,3.92,-1.72,-43.15,-15.32,-567.26
-4,4,-4,510.31,-155.82,-1781.98
-4,4,-4,322.33,44.07,-2000
-4,-4,-3.14,547,-100.89,-981.45
-4,-4,0.48,-224.79,-16.11,-331.6
-1.52,-0.68,0.91,50.6,-138.06,202.7
0.39,0.32,0.98,116.58,-9.58,205.14
0.47,-0.08,-0.79,30.33,187.74,78.25
0.51,-0.46,-1.06,27.53,97.05,115.42
-3.6,1.29,-2.35,137.39,164.73,77.82
-4,3.95,-2.07,3.91,-173.95,-369.32
-4,4,-1.7,338.01,-256.29,-1545.35
-4,4,-4,729.92,287.11,-2000
-4,-2.57,-3.35,239.14,250.61,-1460.63
-4,-3.65,-2.76,-139.1,130.07,-451.17
-3.35,-1.56,-0.78,-208.07,-96.25,169.43
-0.83,-0.74,1.86,63.72,-280.4,346.25
0.68,0.24,-0.1,11.6,141.3,146.06
0.62,-0.21,-0.54,31.49,82.89,95.76
-3.61,2.44,-1.86,-97.23,43.88,-116.64
-4,4,-0.35,63.9,-155.09,-940.73
-4,4,-4,748.72,99.12,-2000
-4,-0.7,-1.66,90.09,207.76,-1873.72
-4,-4,-2.7,256.77,217.1,-729
-3.13,-2.66,-2.17,-151.43,95.58,68.12
-0.74,-0.57,0.42,95.95,-341.25,266.91
1.02,0.89,0.13,-76.78,114.44,170.65
0.98,-0.36,-0.96,-54.38,152.34,22.46
0.71,-0.41,-0.57,-17.09,10.99,46.33
-3.58,3.07,-0.94,-158.45,33.69,-86.91
-4,4,-0.21,-64.51,-22.28,-830.44
-4,4,-4,635.56,160.58,-1947.81
-4,0.98,-3.36,188.11,386.84,-1959.17
-4,-4,-3.66,330.32,158.2,-778.81
-4,-2.3,-1.52,-180.97,41.32,116.15
-0.76,-0.7,-0.11,88.44,-402.53,333.19
0.69,0.08,0.61,-135.01,109.8,115.91
1.02,0.1,-0.81,-38.02,138.43,85.45
0.58,-0.08,-0.86,13.61,45.1,2.69
-4,3.42,0.1,-240.91,-132.75,-430.66
-4,4,-2.03,230.47,-30.46,-1223.33
-4,4,-4,332.52,19.9,-2000
-4,-3.96,-1.22,420.72,-44.43,-1499.51
-4,-4,-1.67,-4.88,230.65,-533.87
-2.07,-1.51,-1.57,-81.97,22.09,157.78
-0.16,-0.48,0.46,122.44,-226.07,287.72
1.03,0.5,0.41,-49.01,127.93,139.04
0.92,0.22,-0.67,15.75,101.01,56.15
0.55,-0.23,-0.73,55.24,81.73,32.71
-4,2.43,-1.23,-78.37,-26.18,-228.52
-4,4,-1.36,192.93,-115.23,-893.68
-4,4,-4,529.05,170.96,-2000
-4,-4,0.69,-298.77,96.07,-1600.52
-4,-4,-0.68,383.79,-132.39,-434.57
-1.55,-1.33,-2.61,51.27,85.39,95.64
0.08,-0.09,0.15,111.51,-286.44,107.3
0.32,-0.81,0.3,-26.25,46.57,25.76
0.2,-0.67,-0.98,-28.93,74.89,31.07
0.28,-0.48,-0.56,-31.13,-4.21,52.98
-4,2.73,-0.67,-147.03,-42.66,-239.93
-4,4,-1.31,46.75,-115.36,-1061.22
-4,4,-4,624.69,-52.19,-2000
-4,-4,0.8,-84.11,-2.44,-1876.65
-4,-2.9,-3.14,287.9,9.95,-338.62
-2.11,-2.02,-0.28,66.89,-7.14,3.66
-0.25,-0.58,-0.23,46.2,-159.67,257.45
0.62,0.24,0.01,-3.6,49.8,34
0.42,-0.52,-0.55,5.8,48.1,-6.59
0.28,-0.4,-0.21,3.85,-12.94,43.7
-4,0.71,-2.78,7.39,64.88,-155.52
-4,2.76,-2.08,-85.27,-255.19,-696.72
-4,4,-4,791.38,-151.67,-1866.94
-4,2.23,-3.99,81.79,166.08,-2000
-4,-4,-2.32,757.51,-298.46,-540.28
-4,-4,-0.38,-58.65,62.93,-132.2
-0.16,-0.89,-0.66,-13.24,-39.67,209.78
1.09,0.43,0.16,-5.74,0.37,123.96
0.66,-0.27,-0.47,-10.19,73.73,11.23
0.64,-0.59,-1,-35.03,83.92,58.9
-4,2.15,-1.72,-126.22,15.5,-268.55
-4,4,-1.38,49.38,-161.5,-1114.99
-4,4,-4,563.35,46.2,-2000
-4,-4,-1.29,77.82,-38.7,-1779.36
-4,-4,-1.6,20.75,-119.26,-506.53
-2.42,-0.8,0.82,-104,-61.95,216.06
-0.01,0.13,1.45,146.91,-14.1,175.78
0.62,0.06,-0.78,73,205.75,53.28
0.37,-0.89,-1.47,42.05,128.48,72.02
0.2,-0.53,-0.89,3.85,15.63,230.22
-4,2.34,-1.08,-132.87,-64.21,-307.68
-4,4,-1.61,183.04,-243.84,-1291.32
-4,4,-4,677.92,179.69,-2000
-4,-3.21,-0.25,-61.58,-8.54,-1553.04
-4,-4,0.19,0.67,-66.65,-662.17
-2.81,-2.33,-0.34,158.69,138.24,114.32
0.53,0.16,0.05,133,-125.79,342.16
0.69,0,-0.03,-0.43,144.53,197.14
0.97,-0.04,-0.85,10.99,87.95,189.45
1,0.38,-0.64,-22.09,27.1,140.62
-4,0.65,-3.32,109.56,254.27,-41.38
-4,4,-2.16,-159.97,-75.5,-583.19
-4,4,-4,643.62,127.75,-1983.52
-4,4,-3.99,-61.34,441.28,-2000
-4,-4,-3.57,198.3,-253.91,-775.27
-4,-3.36,1.3,-137.51,-86.18,-4.88
-0.72,-0.1,1.93,121.28,-83.74,201.6
1.14,0.37,-1.14,84.17,149.54,82.4
0.91,-0.33,-0.8,6.65,33.51,37.66
0.58,-0.18,-0.19,-31.68,15.26,78.25
-4,2.23,-1.01,-117.13,-47.12,-288.21
-4,4,-1.96,120.24,-103.21,-1080.75
-4,4,-4,625.37,-37.66,-2000
-4,-3.22,-3.16,277.53,91.98,-1824.89
-4,-4,-3.82,216.8,79.47,-579.59
-2.68,-1.59,-0.2,-214.78,-100.46,173.95
0.1,-0.35,2.23,86.18,-106.75,107.06
0.79,-0.24,-1.53,31.8,150.63,-23.44
0.44,-0.7,-0.87,-6.71,-28.38,34.06
0.4,-0.21,0.09,-28.26,-1.77,91.43
-3.99,1.41,-2.27,-26.43,178.47,-23.19
-4,4,-1.99,-60.12,-44.98,-616.33
-4,4,-4,496.22,-149.05,-1970.15
-4,3.51,-4,388.55,217.29,-1999.94
-4,-4,-2.33,237.06,1.59,-909.67
-4,-3.23,-0.17,15.32,-0.43,-170.9
-2.16,-1.5,-0.13,113.95,-182.43,199.1
0.7,0.59,0.93,15.2,-10.25,166.75
0.77,-0.51,-0.6,6.84,159.48,-13.37
0.37,-0.53,-0.72,17.82,46.88,20.2
