aX,aY,aZ,gX,gY,gZ
-0.15,-0.24,-1.07,-47.18,7.2,232.85
-4,4,-1.17,175.23,-151.18,-1440.12
-4,4,-4,456.24,258.67,-2000
-4,-1.29,-1.3,-57.5,-111.76,-1871.83
-4,-3.92,-0.78,80.02,3.85,-754.82
-4,-3.15,-0.28,284.97,-203.31,125.43
-0.33,-0.23,0.81,142.94,-191.71,290.83
0.73,0.14,0.03,15.99,70.37,149.78
0.65,-0.36,-0.48,16.24,93.75,133.3
0.3,-0.29,-0.61,26.18,52,185.12
-0.06,-0.44,-0.66,5.49,59.08,226.07
-4,4,-2.46,278.87,-47.85,-1491.88
-4,4,-4,461.73,164.37,-2000
-4,0.45,-2.84,189.88,15.08,-1626.89
-4,-2.01,-1.97,170.65,74.71,-752.01
-4,-2.79,-0.44,-99.12,45.65,-81.67
-2.08,-1.72,-0.02,278.08,-462.28,241.27
-0.24,-0.22,0.32,-91,-31.62,336.67
0.29,-0.13,-0.29,-108.15,120,240.11
0.04,-0.45,-0.38,20.26,35.1,244.14
-0.36,-0.47,-0.85,72.75,-41.2,365.84
-4,4,-4,524.29,-78.12,-1999.88
-4,1.1,-2.63,118.96,187.99,-1860.17
-4,-3.77,-3.07,260.5,112.06,-717.16
-3.67,-3.15,0.6,-224.67,-132.14,-186.95
-1.28,-1.72,0.51,81.3,2.99,146.24
0,-0.51,-1.16,23.93,149.66,156.19
0.14,-0.78,-1.21,-28.44,61.71,121.89
-0.02,-0.57,-0.72,-23.32,11.41,169.74
-0.44,-0.67,-0.78,9.58,52.98,188.66
-1.18,-1.3,-1.28,23.19,-33.26,396.12
-4,-0.02,-3.85,415.1,55.24,-1098.33
-4,-2.37,0.13,-150.15,76.23,-370.3
-2.39,-2.86,-0.73,103.58,-20.94,-61.77
-0.75,-1.13,0.21,122.13,-139.53,191.47
0.34,-0.28,-0.71,16.3,104.92,173.1
0.35,-0.5,-0.93,49.01,34.42,167.72
0.25,-0.44,-0.6,17.46,1.34,194.82
0.04,-0.35,-0.61,-19.96,59.75,223.63
-0.16,-0.29,-0.64,26.49,37.66,298.65
-0.47,0.35,-0.78,49.32,-11.47,407.96
-4,-2.77,0.96,-349.49,49.07,-517.15
-2.95,-2.7,1.47,8.67,-12.27,-16.72
-1.04,-1.06,0.18,239.2,-84.96,220.21
-0.11,-0.25,-0.53,10.5,53.41,230.83
0.21,-0.52,-0.39,-7.39,43.58,233.28
-0.09,-0.46,-0.24,73.12,11.9,244.2
-0.65,-1.05,-0.77,62.93,-4.88,294.19
-0.87,0.06,-0.78,13.49,15.44,477.97
-0.85,0.17,-0.58,74.65,-8.73,446.72
-1.48,0.02,-0.93,11.96,-29.48,499.08
-4,-2.63,-1.12,34.55,146.18,-578.31
-3.13,-2.51,-1.6,117.49,43.4,-103.58
-1.36,-1.5,-0.31,123.66,-239.44,201.54
0.01,-0.19,0.18,-81.05,14.28,155.58
0.55,-0.6,-0.18,-4.82,21.18,147.16
0.38,-0.38,-0.55,-13.49,65.67,142.33
0.08,-0.85,-0.82,-12.21,63.6,130.55
-0.46,-1,-0.75,26.55,-8,314.76
-0.71,0.09,-0.66,-18.19,-17.09,431.09
-1.25,-0.21,-0.63,-46.51,13.85,466.98
-4,-2.36,-1.63,170.47,-105.77,-1612.3
-4,-2.43,-3.04,310.55,-32.96,-432.86
-2.63,-1.12,-0.33,-280.94,106.26,-225.1
-0.99,-1.75,0.18,-46.02,-52.98,-6.1
-0.42,-0.82,0.13,10.5,-31.98,60.67
-0.16,-1.01,-0.52,-10.93,76.17,54.38
-0.1,-1.05,-0.95,28.38,43.76,131.84
-0.19,-0.83,-0.97,17.46,-17.21,228.45
-0.62,-0.94,-1.06,-7.26,-46.63,323.12
-0.67,-0.03,-0.5,2.56,-66.28,438.6
-4,4,-4,668.21,-168.7,-1853.21
-4,3.9,-3.54,96.56,-60.91,-1904.66
-4,-0.49,-1.84,159.85,-125.55,-762.88
